Week,Index,SearchWord,Category
2018-07-15,86,Sardinia,All
2018-07-22,99,Sardinia,All
2018-07-29,100,Sardinia,All
2018-08-05,92,Sardinia,All
2018-08-12,83,Sardinia,All
2018-08-19,73,Sardinia,All
2018-08-26,66,Sardinia,All
2018-09-02,68,Sardinia,All
2018-09-09,59,Sardinia,All
2018-09-16,56,Sardinia,All
2018-09-23,50,Sardinia,All
2018-09-30,41,Sardinia,All
2018-10-07,47,Sardinia,All
2018-10-14,36,Sardinia,All
2018-10-21,32,Sardinia,All
2018-10-28,28,Sardinia,All
2018-11-04,25,Sardinia,All
2018-11-11,27,Sardinia,All
2018-11-18,26,Sardinia,All
2018-11-25,26,Sardinia,All
2018-12-02,25,Sardinia,All
2018-12-09,30,Sardinia,All
2018-12-16,28,Sardinia,All
2018-12-23,38,Sardinia,All
2018-12-30,49,Sardinia,All
2019-01-06,52,Sardinia,All
2019-01-13,52,Sardinia,All
2019-01-20,52,Sardinia,All
2019-01-27,50,Sardinia,All
2019-02-03,48,Sardinia,All
2019-02-10,47,Sardinia,All
2019-02-17,49,Sardinia,All
2019-02-24,48,Sardinia,All
2019-03-03,50,Sardinia,All
2019-03-10,48,Sardinia,All
2019-03-17,46,Sardinia,All
2019-03-24,48,Sardinia,All
2019-03-31,52,Sardinia,All
2019-04-07,55,Sardinia,All
2019-04-14,52,Sardinia,All
2019-04-21,56,Sardinia,All
2019-04-28,63,Sardinia,All
2019-05-05,63,Sardinia,All
2019-05-12,65,Sardinia,All
2019-05-19,69,Sardinia,All
2019-05-26,71,Sardinia,All
2019-06-02,75,Sardinia,All
2019-06-09,86,Sardinia,All
2019-06-16,80,Sardinia,All
2019-06-23,84,Sardinia,All
2019-06-30,89,Sardinia,All
2019-07-07,89,Sardinia,All
2019-07-14,85,Sardinia,All
2019-07-21,83,Sardinia,All
2019-07-28,83,Sardinia,All
2019-08-04,82,Sardinia,All
2019-08-11,80,Sardinia,All
2019-08-18,84,Sardinia,All
2019-08-25,70,Sardinia,All
2019-09-01,66,Sardinia,All
2019-09-08,63,Sardinia,All
2019-09-15,54,Sardinia,All
2019-09-22,47,Sardinia,All
2019-09-29,45,Sardinia,All
2019-10-06,41,Sardinia,All
2019-10-13,38,Sardinia,All
2019-10-20,33,Sardinia,All
2019-10-27,30,Sardinia,All
2019-11-03,29,Sardinia,All
2019-11-10,33,Sardinia,All
2019-11-17,32,Sardinia,All
2019-11-24,29,Sardinia,All
